City,latitude,longitude
Athina,38.0359,23.787
Paris,48.841465,2.252616
St. Louis,38.6479,-90.3138
London,51.5387,-0.0172
Stockholm,59.3453,18.079
Antwerpen,51.1841,4.3825
Amsterdam,52.3434,4.8533
Los Angeles,34.073814,-118.240784
Berlin,52.5147,13.2395
Helsinki,60.1872,24.9268
Melbourne,-37.8209,144.9783
Rome,41.933964,12.454297
Tokyo,35.6778,139.7145
Mexico City,19.3319,-99.1922
Munich,48.1732,11.5466
Montreal,45.5577,-73.5515
Moskva,55.7812,37.6261
Seoul,37.5158,127.0728
Barcelona,41.3647,2.1557
Atlanta,33.76,-84.3932
Sydney,-33.8354,151.0654
Beijing,39.9929,116.3965
Rio de Janeiro,-22.8933,-43.2923